geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Oma1	Gm42748	Zfp260						
Prkaa2	Gm42830	Capns1						
Plpp3	Gm42829	Tbcb						
Pcsk9	Gm43411	Polr2i						
Dhcr24	Gm43412	Tyrobp						
Ttc4	Gm43413	Nfkbid						
Acot11	4932422M17Rik	Psenen						
Mrpl37	Gm15747	Cox6b1						
Tceanc2	Gm42907	Tmem147						
Lrrc42	Gm42908	Ffar2						
Hspb11	Gm43133	Usf2						
Ndc1	Gm42651	Fxyd5						
0610037L13Rik	Ccdc62	Gramd1a						
Cpt2	Gm43339	Uba2						
Podn	Gm37415	Gpi1						
Echdc2	Gm43034	Lsm14a						
Zyg11b	Ccdc92	Pepd						
Coa7	Gm42633	Cebpg						
Gpx7	Gm10382	Cebpa						
Cc2d1b	5930412G12Rik	Pdcd5						
Zfyve9	Rps16-ps2	1600014C10Rik						
Btf3l4	Gm42979	Pop4						
Kti12	Gm15903	Etfb						
Cdkn2c	Phkg1	Cd33						
Faf1	Zbed5	Siglece						
Bend5	Nupr1l	Josd2						
Spata6	Gm42986	Emc10						
Skint3	Gm43482	Nr1h2						
Trabd2b	2210412B16Rik	Napsa						
Tal1	Gm15920	Vrk3						
Cyp4b1	Gm6598	Pnkp						
Atpaf1	Gm42467	Ptov1						
Mob3c	Gm43483	Prmt1						
Mknk1	Gm42443	Rras						
Nsun4	Gm42995	Fcgrt						
Lrrc41	Gm42989	Rps11						
Pomgnt1	Gm43018	Rpl13a						
Lurap1	Gm43187	Pih1d1						
Mast2	B230377A18Rik	Cd37						
Ipp	Gm43481	Snrnp70						
Tmem69	2700029L08Rik	Ftl1						
Mmachc	Gm10369	Bax						
Ccdc163	Gm43372	Nucb1						
Tesk2	Mlxipl	Ppp1r15a						
Toe1	Gm42731	Rpl18						
Urod	Gm43123	Cyth2						
Hectd3	Gm15607	Kdelr1						
Eif2b3	Ssc4d	Emp3						
Btbd19	Upk3b	Ldha						
Plk3	Gm5050	Tsg101						
Tmem53	A430110C17Rik	Spty2d1						
Eri3	Gm38082	Siglech						
Dmap1	4933404O12Rik	Cyfip1						
Slc6a9	Cldn15	Nipa2						
B4galt2	Gm20768	Herc2						
Dph2	9130604C24Rik	Ube3a						
Ipo13	Gm7285	Klf13						
Artn	Fbxo24	Mphosph10						
St3gal3	Gm36266	Mcee						
Kdm4a	Gm16089	Tm2d3						
Szt2	Gm20605	Snrpa1						
Tie1	Irs3	Selenos						
Zfp691	Gm15498	Chsy1						
AU022252	Gm15753	Lrrk1						
P3h1	Nyap1	Mef2a						
Ppih	Cyp3a13	Igf1r						
Ccdc30	Mblac1	Arrdc4						
Ppcs	BC037034	Chd2						
Foxj3	Gpc2	1810026B05Rik						
Hivep3	Stag3	Slco3a1						
Scmh1	Pvrig	Akap13						
Ctps	Got2-ps1	Isg20						
Nfyc	Gm42815	Abhd2						
Exo5	6330403L08Rik	Idh2						
Trit1	Gm15672	Cib1						
Ppie	Elfn1	Fes						
Heyl	Gm43703	Furin						
Pabpc4	Gm43378	Crtc3						
Mycbp	Fam220a	Iqgap1						
Fhl3	D130017N08Rik	Sec11a						
Inpp5b	2900089D17Rik	Rps17						
Mtf1	Baiap2l1	Ramac						
1110065P20Rik	Gm15708	Btbd1						
Yrdc	Zscan25	Tm6sf1						
9930104L06Rik	Gm42636	Mesd						
Gnl2	B230303O12Rik	Zfand6						
Snip1	Gm15739	Ctsc						
Meaf6	Gm8494	Hikeshi						
Oscp1	D5Ertd605e	Eed						
Lsm10	Gm43460	E230029C05Rik						
Eva1b	Gm10167	Picalm						
Sh3d21	1810059H22Rik	Gm45223						
Col8a2	Gm15411	Crebzf						
Adprhl2	Mm2pr	Tmem126a						
Ago1	Gm43332	Pcf11						
Ago4	2310047D07Rik	4632427E13Rik						
5730409E04Rik	Wdr95	Prcp						
Ncdn	Gm5566	Ndufc2						
AU040320	D730045B01Rik	Rsf1						
Gm12940	1700028E10Rik	Clns1a						
Zmym1	Gm43197	Acer3						
Zmym6	Gm43294	Emsy						
Tmem35b	Tfpi2	Thap12						
Gja4	Gm43921	Uvrag						
Zfp362	Gm44432	Rps3						
Trim62	Peg10	Slco2b1						
Azin2	Gmfg-ps	Spcs2						
Fndc5	Gm26814	Ppme1						
S100pbp	Gm44250	Ucp2						
Yars	Asb4	Mrpl48						
C77080	Dync1i1	Rab6a						
Sync	Gm9825	Fam168a						
Gm26722	A430035B10Rik	P2ry6						
Zbtb8a	Ica1	Fchsd2						
Bsdc1	Nxph1	Arap1						
Iqcc	Gm2796	Folr2						
Ccdc28b	Gm15473	Lamtor1						
Kpna6	Gm4876	Numa1						
Tmem39b	D830026I12Rik	Nup98						
Col16a1	Gm27365	Pgap2						
Pef1	Gm43533	Rhog						
Tinagl1	Gm43844	Trim12c						
Fabp3	Wnt2	Trim30c						
Ptpru	Cftr	Trim30a						
Mecr	Cttnbp2	Trim30d						
Gmeb1	Gm26809	Timm10b						
Snhg12	Gm42583	Ilk						
Rcc1	Cadps2	Taf10						
Phactr4	Gm42856	Tpp1						
Med18	Gm42547	Mrpl17						
Sesn2	6530409C15Rik	Gm8995						
Eya3	Gm42549	Eif3f						
Xkr8	Gm42548	Rpl27a						
Smpdl3b	Gm37321	Tmem9b						
Rpa2	Gm37978	Dennd5a						
Ppp1r8	Lrrc4	Ipo7						
Ahdc1	Gm37940	Swap70						
Tmem222	Gm43029	Sbf2						
Wdtc1	Tspan33	Lyve1						
Slc9a1	Gm13717	Ctr9						
Gpatch3	Strip2	Eif4g2						
Gpn2	Smkr-ps	Usp47						
Zdhhc18	Gm27019	Far1						
Pigv	5330406M23Rik	Copb1						
Dhdds	Gm13835	Psma1						
Cep85	Gm43800	1110004F10Rik						
Grrp1	Mkln1os	Rps13						
Pdik1l	Plxna4	Pik3c2a						
Pafah2	Gm42895	Nucb2						
Paqr7	Slc23a4	Rps15a						
Selenon	Fam180a	Arl6ip1						
Ldlrap1	9330158H04Rik	Smg1						
Maco1	Ybx1-ps2	Itpripl2						
Rcan3	Svopl	Gde1						
Nipal3	Atp6v0a4	Knop1						
Cnr2	D630045J12Rik	Uqcrc2						
Gale	Rpl30-ps1	Mosmo						
Pithd1	Klrg2	Mettl9						
Id3	4930599N23Rik	Igsf6						
E2f2	8030453O22Rik	Ndufab1						
Asap3	Fth-ps2	Dctn5						
Tcea3	Ephb6	Prkcb						
Zfp46	Epha1	Rbbp6						
Luzp1	Rbpj-ps3	Tnrc6a						
Zbtb40	Gm26625	Arhgap17						
2810405F17Rik	Rny3	Nsmce1						
Hspg2	Rny1	Il4ra						
Rap1gap	Rpl35a-ps7	Il21r						
Pink1	Zfp786	Xpo6						
Mul1	Gm44041	Atxn2l						
Camk2n1	Zfp956	Eif3c						
Otud3	Gm7887	Cln3						
Tmco4	AI854703	Nupr1						
Nbl1	Gm28053	Bola2						
Pqlc2	Gm43980	Coro1a						
Akr7a5	Fam221a	Mapk3						
Emc1	5430402O13Rik	Gdpd3						
2700016F22Rik	Nfe2l3	Ypel3						
Iffo2	Hoxa1	Ppp4c						
Aldh4a1	Hoxa6	Aldoa						
Arhgef10l	Gm8129	Ino80e						
Mfap2	Gm44434	Taok2						
Fbxo42	Jazf1	Tmem219						
Arhgef19	Gm44080	Cdipt						
Zbtb17	Prr15	Mvp						
B330016D10Rik	Pde1c	Maz						
Fblim1	Gm10209	Itgal						
Plekhm2	Gm3793	Bcl7c						
Dnajc16	Gm37397	Stx4a						
Casp9	Rps15-ps2	Vkorc1						
4930455G09Rik	Gprin3	Fus						
Tmem51	Ccser1	Pycard						
Pdpn	Gm18913	Itgam						
Pramef8	Gm4045	Tial1						
Vps13d	Gm9794	Bag3						
Gm13212	4930597O21Rik	Mcmbp						
Gm13166	Gm15644	Ate1						
Zfp992	E230016M11Rik	Nsmce4a						
Zfp991	Gm8566	Plekha1						
Zfp982	Rpl34-ps1	Acadsb						
Zfp979	Smyd1	Bub3						
Zfp984	Gm44321	Oat						
Zfp933	Gm44175	Zranb1						
Miip	Gm44130	Ctbp2						
Mfn2	Gm44768	Bccip						
Clcn6	Atoh8	Dock1						
Mthfr	Gm45053	Ptpre						
Mad2l2	Gm20536	Glrx3						
Fbxo6	Gm37969	Ppp2r2d						
Ubiad1	Gm37736	Bnip3						
Mtor	D530018E20Rik	Adam8						
Exosc10	Gm6210	Echs1						
Casz1	Eva1a	Bet1l						
Pex14	Sema4f	Ric8a						
Dffa	M1ap	Psmd13						
Ube4b	Gm19287	Ifitm2						
Nmnat1	Dqx1	Ifitm1						
Lzic	Lbx2	Ifitm3						
Ctnnbip1	Ccdc142os	Ifitm6						
Clstn1	1700003E16Rik	Rnh1						
Tmem201	Gm43890	Hras						
Slc25a33	5430434F05Rik	Irf7						
Spsb1	Gm43920	Taldo1						
H6pd	Gm43588	Rplp2						
Camta1	Gm42600	Pnpla2						
Per3	Ptges3-ps	Polr2l						
Dnajc11	Gm19265	Ap2a2						
Phf13	Gm10443	Ctsd						
Klhl21	A430078I02Rik	Lsp1						
Nol9	Gm43936	Cd81						
Plekhg5	Gm28720	Kcnq1ot1						
Gpr153	Gm28719	Nap1l4						
Icmt	Gm44369	Ccnd1						
Kcnab2	Asprv1	Pcmt1						
A430005L14Rik	Gm44292	Katna1						
Dffb	Gm44153	Ginm1						
Cep104	Gm44152	Ppil4						
Lrrc47	Gm44093	Tab2						
Wrap73	Gm44416	Sash1						
Megf6	Gm44417	Rab32						
Prdm16	Gm44414	Sf3b5						
Fam213b	Gm44198	Ltv1						
Pank4	Gm5879	Phactr2						
Pex10	Gm44423	Aig1						
Faap20	9930120I10Rik	Hivep2						
Prkcz	B130021K23Rik	Vta1						
Slc35e2	Gm44064	Cited2						
Mmp23	Rps19-ps9	Abracl						
Mib2	Gm44187	Tnfaip3						
Fndc10	Gm44005	Ifngr1						
Atad3a	Gm44204	Bclaf1						
Atad3aos	4930512J16Rik	Sgk1						
Vwa1	Vmn1r43	Rps12						
Mxra8	C030015A19Rik	Stx7						
Dvl1	Aldh1l1	Arg1						
Cptp	Rpl21-ps12	Akap7						
Ints11	1810044D09Rik	Epb41l2						
Pusl1	Gm45828	Arhgap18						
Acap3	Gm44220	Ncoa7						
C1qtnf12	Kbtbd8	Zup1						
B3galt6	Gm15531	Rwdd1						
Agrn	Gm765	Calhm6						
AW011738	Gm20705	Dse						
Plekhn1	Gpr27	Tspyl1						
Rbm48	Prok2	Hdac2						
Pex1	Gm6681	Marcks						
Mterf1a	Tpt1-ps3	Fyn						
Cyp51	Gm44045	Rpf2						
Fzd1	Gm44044	Gtf3c6						
Cdk14	Shq1	Cdc40						
Cldn12	Gm44116	Cd164						
Gtpbp10	9530086O07Rik	Snx3						
Steap2	Gm43953	Sec63						
Gm26825	Gm43947	Cd24a						
Steap4	Gm44436	Atg5						
Adam22	Setmar	Prdm1						
Slc25a40	Rpl36-ps12	Ascc3						
Abcb1a	Gm16433	Lilr4b						
Abcb1b	Gm17055	Lilrb4a						
Crot	Grm7	Nus1						
Sema3a	Gm43935	Man1a						
Cacna2d1	Gm15492	Gja1						
Hgf	Ttll3	Serinc1						
Cd36	Il17re	Pkib						
Gnai1	Gm43963	Smpdl3a						
Magi2	Gm43912	Gcc2						
Phtf2	Gm26982	Lims1						
Tmem60	Hrh1	Ranbp2						
A630072M18Rik	Gm19040	Sowahc						
Gsap	Gm14335	P4ha1						
Fam185a	Efcab12	Anapc16						
Lrrc17	Gm8203	Psap						
Armc10	Gm8213	Vsir						
Napepld	9530062K07Rik	Slc29a3						
Reln	Gm44103	Sgpl1						
Orc5	Zfand4	Eif4ebp2						
AI506816	Gm44237	Ppa1						
Pus7	Tmem72	Sar1a						
Rint1	Gm7292	Hk1						
2700038G22Rik	Zfp239	Vps26a						
Fam126a	4933440N22Rik	Srgn						
Klhl7	Gm43863	Ddx21						
Nupl2	Fxyd4	Ddx50						
Kcnh2	Gm4875	Ccar1						
Nos3	Rasgef1a	Herc4						
Abcb8	Ret	Reep3						
Cdk5	Gm44148	Jmjd1c						
Slc4a2	Slc6a13	Nrbf2						
Fastk	A2m	Egr2						
Tmub1	Gm6637	Arid5b						
Agap3	Rimklb	Ube2d1						
Asb10	Gm8430	Cisd1						
Abcf2	Gm16556	Specc1l						
Chpf2	Gm8459	Snrpd3						
Smarcd3	Gm10224	Cabin1						
Prkag2	Gm5112	Ddt						
2900005J15Rik	Vmn2r26	Mif						
1700096K18Rik	Clstn3	Smarcb1						
Paxip1	Gm44096	Pofut2						
Lmbr1	Lrrc23	Itgb2						
Nom1	Gm32536	Pttg1ip						
Ube3c	Pianp	Sumo3						
Il6	Acrbp	Pfkl						
Selenoi	2010008C14Rik	Trappc10						
Mapre3	4930417O13Rik	Agpat3						
Agbl5	Scnn1a	Rrp1						
Emilin1	Gm28809	Cstb						
Khk	Gm26728	Pdxk						
Slc5a6	Ntf3	Tpgs1						
Cad	Fgf23	Cdc34						
Eif2b4	Gm4968	Bsg						
Zfp513	Gm43633	Ptbp1						
Ift172	Cracr2a	R3hdm4						
Fndc4	Tead4	Tmem259						
Zfp512	Rpl18-ps2	Cnn2						
Gpn1	Gm10069	Arhgap45						
Supt7l	Gm8724	Polr2e						
Slc4a1ap	Gm5884	Gpx4						
Gm43660	Gm44066	Sbno2						
AI839979	Gm44067	Stk11						
Rbks	Gm44078	Atp5d						
Yes1	Clec2g	Midn						
Prr14l	Clec1b	Cirbp						
Depdc5	Gm43914	Ndufs7						
Spon2	1700101I11Rik	Dazap1						
Uvssa	Gm44135	Rps15						
Fam53a	Klri1	2310011J03Rik						
Tmem129	Klra17	Mbd3						
Nelfa	Klra5	Uqcr11						
Gm1673	Klra8	Rexo1						
Haus3	Klra14-ps	Abhd17a						
Tnip2	Klra9	Csnk1g2						
Sh3bp2	Klra13-ps	Mknk2						
Mfsd10	Klra3	Ap3d1						
Nop14	Gm44958	Plekhj1						
Grk4	Gm45769	Oaz1						
Rgs12	Gm43982	Lsm7						
Trmt44	Gm43984	Timm13						
Acox3	Gm17088	Gadd45b						
Htra3	Bcl2l14	Sgta						
Sh3tc1	Gprc5a	Map2k2						
Ablim2	Gsg1	Zbtb7a						
Afap1	Dynlt1-ps1	Eef2						
Sorcs2	Rpl36a-ps3	Matk						
Tada2b	Gm44401	Mrpl54						
D5Ertd579e	BC049715	Pip5k1c						
Bloc1s4	Smco3	Hmg20b						
Man2b2	Gm44258	Dohh						
Wfs1	Gm44013	Aes						
Evc	Rpl38-ps2	Nfyb						
Evc2	Gm20400	Txnrd1						
Stx18	Sult6b2	Washc4						
Nsg1	Bcat1	Gm5425						
Slc2a9	Casc1	Ckap4						
Zfp518b	Gm44164	Rtcb						
Hs3st1	Gm15706	Hsp90b1						
Gm2810	Rps25-ps1	Igf1						
Cpeb2	2010013B24Rik	Washc3						
C1qtnf7	Gm44428	Chpt1						
Cc2d2a	Lmntd1	Arl1						
Gm5292	Gm44086	Uhrf1bp1l						
Tapt1	Gm15720	Apaf1						
Ldb2	Gm6654	Slc25a3						
Gm43508	Gm44270	Tmpo						
Lcorl	Gm6266	Elk3						
Slit2	Rep15	Lta4h						
Gm43426	Pthlh	Snrpf						
5730480H06Rik	Gm44021	Metap2						
Adgra3	Gm44022	Ndufa12						
9230114K14Rik	Gm7618	Socs2						
Sod3	3010003L21Rik	Mrpl42						
Ccdc149	Gm15779	Ube2n						
Lgi2	Gm10388	Nudt4						
Sepsecs	Gm21814	Eea1						
Pi4k2b	Gm44043	Btg1						
Zcchc4	Gm7353	Atp2b1						
Anapc4	Gm3375	Dusp6						
Tbc1d19	Nlrp12	Ccdc59						
Pcdh7	Prkcg	Ppp1r12a						
0610040J01Rik	Gm44165	Osbpl8						
Pgm2	Gm15927	Nap1l1						
Tlr1	Gm15922	Phlda1						
Tlr6	Gm15448	Atxn7l3b						
Fam114a1	Gm7363	Tbc1d15						
Tmem156	Gm15931	Rab21						
Klhl5	Tnni3	Cnot2						
Wdr19	Dnaaf3	Cct2						
Lias	Gm15873	Yeats4						
Ugdh	Ptprh	Lyz2						
Gm42726	Tmem86b	Cpsf6						
N4bp2os	Gm44878	Mdm2						
N4bp2	Il11	Rap1b						
Apbb2	Ccdc106	Cand1						
Limch1	Zfp784	Tmbim4						
Gm42670	Gm15510	Llph						
Bend4	Gm45133	Gns						
Guf1	Rasl2-9	Tbk1						
Gnpda2	Gm5321	Rxylt1						
Atp10d	Gm36371	Mon2						
Fryl	Gm45148	Usp15						
Ociad2	Zfp583	Ctdsp2						
Dcun1d4	Zfp78	Cdk4						
Sgcb	Zfp773	Tspan31						
Usp46	Zfp418	Os9						
Dancr	Zfp772	B4galnt1						
Scfd2	Gm45551	Dctn2						
Lnx1	Zfp551	Ddit3						
Gm42576	Gm15773	Arhgap9						
Pdgfra	Gm18194	R3hdm2						
Kdr	Zfp128	Stat6						
Srd5a3	1810019N24Rik	Naca						
Exoc1	Mzf1	Ptges3						
Cep135	Pla2g4c	Atp5b						
Aasdh	Rps8-ps4	Baz2a						
Ppat	Phf20-ps	Stat2						
Noa1	Gm45509	Cnpy2						
Igfbp7	Gm5586	Cs						
Cenpc1	9330104G04Rik	Nabp2						
Stap1	Gm42372	Smarcc2						
Uba6	Gm7287	Myl6						
Jchain	Gm45104	Esyt1						
Grsf1	Gm10676	Rpl41						
Cox18	Mypopos	Pa2g4						
Cxcl5	Ppm1n	Rps26						
Cxcl3	Gm26802	Rab5b						
Cxcl1	Ppp1r13l	Mmp19						
Mthfd2l	Klc3	Sarnp						
Cdkl2	Ckm	Ormdl2						
Cxcl11	Exoc3l2	Bloc1s1						
Nup54	Zfp296	Pet100						
Stbd1	Apoc4	Stxbp2						
Ccng2	Gm45114	Trappc5						
Mrpl1	Ceacam16	Cd209a						
Paqr3	Ceacam19	Timm44						
Rasgef1b	Zfp109	Elavl1						
Enoph1	Zfp108	Arglu1						
5430416N02Rik	Zfp93	Rab20						
Lin54	Zfp94	Naxd						
Coq2	Irgc1	Ing1						
Hpse	Zfp575	F10						
Helq	Phldb3	Cul4a						
Abraxas1	Ceacam10	Lamp1						
Gpat3	Gm9844	Gas6						
Cds1	D930028M14Rik	Rasa3						
Arhgap24	Zfp526	Upf3a						
Ptpn13	4732471J01Rik	Agpat5						
Slc10a6	Tmem91	6820431F20Rik						
Gm15844	Cyp2s1	Vps36						
Klhl8	Gm4613	Vdac3						
Nudt9	Gm8902	Polb						
Sparcl1	Sptbn4	Ikbkb						
Spp1	Prx	Kat6a						
Pkd2	Gm38973	Gpat4						
D930016D06Rik	Gm10046	Golga7						
Abcg3	Zfp59	Adam9						
Gbp8	Zfp850	Tm2d2						
Gbp6	Gm31024	Plekha2						
Lrrc8d	Nccrp1	Tacc1						
Cdc7	Fbxo27	Nsd3						
Tgfbr3	Gm44702	Ddhd2						
Brdt	Lgals7	Lsm1						
Btbd8	Capn12	Fnta						
Glmn	Gm44699	Hook3						
Rpap2	1110035H17Rik	Zfp703						
Pigg	Ggn	Plpbp						
Mfsd7a	Dpf1	Eif4ebp1						
Pcgf3	Zfp940	Mak16						
Tmem175	C230062I16Rik	Nrg1						
Dgkq	Gm10169	Gsr						
Idua	Zfp14	Dctn6						
Fgfrl1	Zfp82	Leprotl1						
5430403G16Rik	Zfp566	Saraf						
4930522L14Rik	Zfp382	Ppp1r3b						
Gm15446	Gm26810	Eri1						
Zfp932	Wdr62	Msr1						
Gtpbp6	Thap8	Cnot7						
Zfp605	Syne4	Slc7a2						
Gm43138	E130208F15Rik	Pcm1						
Pgam5	Arhgap33	Asah1						
Fbrsl1	Proser3	Frg1						
Galnt9	Zbtb32	Ufsp2						
Noc4l	Gm26610	Slc25a4						
Ddx51	Gm26935	Casp3						
Pus1	Sbsn	Irf2						
Ulk1	Cd22	Spcs3						
Hscb	D7Ertd128e	Hpgd						
Chek2	Mag	Hmgb2						
Ttc28	Lsr	Hpf1						
Mn1	Fam187b	Clcn3						
Tfip11	Hpn	Msmo1						
Srrd	G630030J09Rik	March1						
Hps4	Gm37292	Tma16						
Sez6l	Gm12778	Psd3						
Grk3	Gm12758	Atp6v1b2						
2900026A02Rik	Gm44567	Gmip						
Wscd2	2310043P16Rik	Ndufa13						
Ficd	Kctd15	Gatad2a						
Sart3	Gm44836	Borcs8						
Tmem119	Gm45094	Cope						
Ssh1	Gm44636	Upf1						
Usp30	Rhpn2	Rex1bd						
Alkbh2	B230322F03Rik	Uba52						
Acacb	Rpl17-ps9	Kxd1						
Kctd10	Gm37452	Fkbp8						
Ube3b	Gm38340	Ssbp4						
Mmab	E230020A03Rik	Lrrc25						
Mvk	Zfp939	Lsm4						
Trpv4	Zfp619	Jund						
Tchp	Gm2058	Mpv17l2						
Gm13822	Gm6851	Ifi30						
Oasl1	Hmgb1-ps7	Ccdc124						
Acads	Gm6887	Rpl18a						
Unc119b	Gm9294	Myo9b						
Coq5	Siglecf	Use1						
Gatc	Vsig10l	Ocel1						
Sirt4	Gm2511	Babam1						
Gcn1l1	Zfp658	Mrpl34						
Cit	Ctu1	Dda1						
Prkab1	1700028J19Rik	Bst2						
Hspb8	Clec11a	Mvb12a						
Vsig10	Shank1	Pgls						
Rfc5	Syt3	Colgalt1						
Fbxo21	5430431A17Rik	Tpm4						
Tesc	Fam71e1	Rab8a						
Fbxw8	Mybpc2	Fam32a						
2410131K14Rik	Kcnc3	Ap1m1						
Rbm19	Zfp473	Klf2						
Slc8b1	6530437J22Rik	Smim7						
Tpcn1	Gm15545	Sin3b						
Rita1	Dkkl1	Hmox1						
Dtx1	Rpl14-ps1	Rbmxl1						
Oas2	Ppfia3	Lsm6						
Oas1a	Ntf5	Otud4						
Hectd4	Gm10252	Abce1						
Acad12	Tulp2	Smarca5						
Brap	Hsd17b14	Gab1						
Pheta1	A030001D20Rik	Zfp330						
Hvcn1	Mamstr	Scoc						
Tctn1	Car11	Ndufb7						
Pptc7	Sult2b1	Tecr						
Rad9b	Gm31597	Dnajb1						
Fam216a	Lmtk3	Pkn1						
Gpn3	Kcnc1	Ddx39						
Anapc7	Gm45311	Adgre5						
Atp2a2	Gm45629	Gm26532						
Gm43359	Saa1	D8Ertd738e						
Gm43360	Gm9392	Cacna1a						
Gm43361	Gm45308	Ier2						
Ift81	Gm45737	Lyl1						
Camkk2	Mrgpra2b	Gadd45gip1						
Rnf34	Gm45041	Rad23a						
Kdm2b	Gm2788	Calr						
Tmem120b	Gm44822	Farsa						
AI480526	Gm9354	Dnase2a						
Wdr66	Ano5	Prdx2						
Bcl7a	Gm7336	Junb						
Mlxip	Gas2	Asna1						
Gm43813	Gm44616	Trir						
Vps33a	A230056P14Rik	Wdr83os						
Zcchc8	Gm44509	Man2b1						
Hcar2	Gm44510	Vps35						
Hcar1	Gm34121	Dnaja2						
Hip1r	Gm5596	Itfg1						
Abcb9	Gm44937	Lonp2						
Ogfod2	Gm44829	N4bp1						
Pitpnm2	Gm10297	Rps13-ps1						
Mphosph9	A230057D06Rik	Adcy7						
2810006K23Rik	A330076H08Rik	Brd7						
Snrnp35	Peg12	Snx20						
Rilpl1	Gm5898	Cyld						
Ddx55	Gm32633	Chd9						
Eif2b1	Gm45212	Rbl2						
Gtf2h3	Gm45080	Fto						
Tctn2	Gm44752	Amfr						
Zfp664	Lins1	Nudt21						
Scarb1	Gm44667	Mt1						
Dhx37	Gm44668	Herpud1						
Bri3bp	4833412C05Rik	Cpne2						
Aacs	Fam169b	Fam192a						
Slc15a4	Rpl17-ps10	Rspry1						
Stx2	Kansl2-ps	Ciapin1						
Sfswap	Gm44758	Polr2c						
Zfp11	Gm44553	Cfap20						
Psph	Gm44552	Csnk2a2						
Sumf2	C130083A15Rik	Cnot1						
Vkorc1l1	Gm44686	Got2						
Asl	Gm44834	Gm8730						
Crcp	Gm44695	Cmtm3						
Tpst1	Gm44835	Dync1li2						
Rabgef1	Gm44694	Nae1						
Tyw1	Gm39041	Ciao2b						
Galnt17	Gm10616	Cbfb						
Auts2	Kif7	E2f4						
C230071H17Rik	Gm44974	Tmem208						
Gm42991	5430400D12Rik	Tppp3						
Gm42992	Gm44951	Atp6v0d1						
2610011E03Rik	Gm45203	Ctcf						
Gm42993	Gm45206	Psmb10						
Castor2	Gm44851	Nfatc3						
Rcc1l	Ndufab1-ps	Pla2g15						
Gtf2ird2	Gm15880	Cdh1						
Gtf2ird1	Gm45718	Sntb2						
Clip2	Gm44899	Vps4a						
Rfc2	Gm44967	Nip7						
Limk1	Ndufs6b	Cyb5b						
Eln	Cpeb1	Nfat5						
Mettl27	Fsd2	Psmd7						
Abhd11	Gm45698	Dhx38						
Abhd11os	Homer2	Hp						
Dnajc30	Gm45867	Ist1						
Vps37d	Gm45088	Ap1g1						
Tbl2	Bnc1	Sf3b3						
Nsun5	Saxo2	Aars						
Rhbdd2	Gm44916	Glg1						
Tmem120a	Tmc3	Cfdp1						
Hspb1	Gm7964	Gabarapl2						
Dtx2	Gm49493	Kars						
Lrwd1	Arnt2	Maf						
Alkbh4	Gm6155	Cmip						
Orai2	Gm44578	Plcg2						
Prkrip1	Rab38	Hsbp1						
Sh2b2	Rps13-ps2	Mbtps1						
Ift22	Gm44704	Cotl1						
Serpine1	Gm2546	Emc8						
Ufsp1	Me3	Cox4i1						
Trip6	Gm45120	Irf8						
Slc12a9	Gm44860	Map1lc3b						
Ephb4	Gm44861	Zc3h18						
Mospd3	Gm45222	Cyba						
Pcolce	Gm45221	Rnf166						
Lrch4	Gm45220	Aprt						
Agfg2	Ccdc89	Trappc2l						
Ppp1r35	Ankrd42	Cbfa2t3						
Mepce	Gm26944	Ankrd11						
Pilra	6430511E19Rik	Rpl13						
Pilrb1	Gm26981	Chmp1a						
Pilrb2	Gm45200	Tcf25						
Zkscan1	9530078K11Rik	Afg3l1						
Zscan21	Gm26862	Rhou						
Zfp113	Gm15501	2810004N23Rik						
Ap4m1	Gm8319	Egln1						
Taf6	Kctd21	Tsnax						
Cnpy4	Kctd14	Ntpcr						
6330418K02Rik	Rpl15-ps5	Irf2bp2						
Zfp157	Aqp11	Tomm20						
Zfp68	Gm15506	Nrp1						
A430033K04Rik	Wnt11	Itgb1						
Fam20c	Gm45187	Dnase1l3						
Prkar1b	Gm33882	Pxk						
Dnaaf5	Gm44975	Pdhb						
Sun1	Mogat2	3830406C13Rik						
Get4	Map6	Thoc7						
Adap1	Gdpd5	Psmd6						
Cox19	Klhl35	Slc4a7						
3110082I17Rik	Gm15635	Top2b						
C130050O18Rik	Neu3	Rpl15						
Zfand2a	Gm44571	Ube2e1						
Ints1	Gm10603	Rtraf						
Mafk	Gm37716	Gng2						
Psmg3	Dnajb13	Mrps16						
Mad1l1	Cox20b	Anxa7						
Nudt1	Gm3200	Ppp3cb						
Mrm2	Gm44953	Sec24c						
Chst12	Gm44545	Chchd1						
Iqce	Gm5735	Camk2g						
Brat1	Gm6341	Ap3m1						
Amz1	Gm47324	Vdac2						
Sdk1	Gm45620	Rps24						
Foxk1	Gm45548	Zmiz1						
Ap5z1	Gm35363	Zcchc24						
Wipi2	Art2a-ps	Anxa11						
Fbxl18	Gm7027	Slmap						
Fscn1	Gm45380	Dennd6a						
Rbak	Folr1	Arf4						
Zfp12	Lrrc51	Appl1						
Zfp316	Gm45399	Fam208a						
E130309D02Rik	Dnajc19-ps	Selenok						
Zdhhc4	Trim6	Tkt						
0610040B10Rik	Trim34b	Prkcd						
Daglb	Olfr655	Spcs1						
Fam220a.1	Gm45632	Gnl3						
Usp42	Gm45799	Pbrm1						
Eif2ak1	Dnhd1	Smim4						
Aimp2	Mrps36-ps2	Stab1						
Pms2	9130208D14Rik	Nisch						
Lmtk2	Gm45684	Dph3						
Tecpr1	Gm18852	Ncoa4						
Trrap	Gm8979	Glud1						
