gene	cluster
pawr	8
sox6	8
gcshb	8
lpar1	8
pcolceb	8
aff3	8
id3	8
CR855337.1	8
papss2a	8
tbx15	8
sox9b	8
hoxa11b	8
pip5k1bb	8
hoxd10a	8
sox5	8
cyp1b1	8
vipb	9
vip	9
tph1b	9
ddc	9
adcyap1b	9
islr2	9
tmsb	9
sncgb	9
elavl4	9
sncb	9
stmn2b	9
stmn2a	9
egr4	9
stmn1b	9
stmn4	9
zgc:65894	9
plcxd3	9
snap25a	9
scg2b	9
gng3	9
mllt11	9
tmsb2	9
gap43	9
insm1b	9
arpp21	9
phox2a	9
zgc:153426	9
alcama	9
prph	9
hpca	9
elavl3	9
hmx2	9
tspan18a	9
phox2bb	9
tubb5	9
uchl1	9
tuba1c	9
ywhag2	9
tuba1a	9
vgf	9
atp2b3a	9
aldocb	9
sult6b1	9
smarca2	9
stmn4l	9
rgs4	9
vim	9
fgf13b	9
hoxb5a	9
olfm1b	9
rab6bb	9
gch1	9
slc35g2a	9
rtn1a	9
eno1a	9
hoxb5b	9
mdkb	9
pcsk1nl	9
map1b	9
celf4	9
gng2	9
stx1b	9
tuba2	9
cntfr	9
gapdhs	9
maptb	9
map1aa	9
gfra1a	9
tubb2b	9
chrna5	9
rnasekb	9
basp1	9
vamp2	9
hand2	9
syt1a	9
nfasca	9
snap25b	9
si:ch211-195b15.8	9
tbx3a	9
cplx2	9
syt11a	9
atp6v0cb	9
scg5	9
scg3	9
ret	9
id4	9
atp6v1e1b	9
nova2	9
cygb2	9
calm1a	9
stxbp1a	9
elovl7b	10
krt5	10
cd9b	10
mid1ip1a	10
cfl1l	10
cyt1l	10
cldnb	10
cyt1	10
cldni	10
tmsb1	10
spint2	10
cldn7b	10
icn2	10
thy1	10
s100v1	10
aep1	10
zgc:193505	10
si:ch1073-190k2.1	10
elf3	10
si:ch211-105c13.3	10
si:ch211-195b11.3	10
si:ch1073-406l10.2	10
krtt1c19e	10
ca2	10
rac2	10
pycard	10
arhgdig	10
spaca4l	10
kera	10
caspb	10
zgc:92313	10
ecrg4b	10
dnase1l4.1	10
zgc:101810	10
